graph_id,target
437,0
438,0
441,0
442,0
443,0
444,0
445,0
448,0
449,0
450,0
452,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
465,0
466,0
467,0
469,0
472,0
475,0
476,0
478,0
480,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
492,0
493,0
494,0
495,0
497,0
498,0
499,0
500,0
504,0
506,0
507,0
508,0
510,0
512,0
513,0
514,0
517,0
519,0
520,0
521,0
523,0
524,0
526,0
528,0
529,0
530,0
531,0
534,0
536,0
537,0
538,0
539,0
541,0
544,0
546,0
547,0
549,0
550,0
552,0
553,0
554,0
555,0
557,0
559,0
560,0
561,0
562,0
563,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
576,0
577,0
579,0
582,0
583,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
594,0
596,0
597,0
598,0
599,0
600,0
601,0
603,0
606,0
608,0
612,0
613,0
615,0
616,0
617,0
619,0
621,0
623,0
627,0
628,0
630,0
631,0
632,0
633,0
635,0
636,0
641,0
642,0
644,0
645,0
648,0
649,0
650,0
653,0
656,0
657,0
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
677,1
679,1
680,1
682,1
685,1
686,1
687,1
688,1
689,1
690,1
692,1
694,1
695,1
700,1
702,1
703,1
706,1
708,1
709,1
710,1
711,1
714,1
715,1
716,1
717,1
720,1
721,1
723,1
725,1
726,1
728,1
729,1
731,1
738,1
739,1
741,1
742,1
743,1
744,1
745,1
746,1
749,1
750,1
752,1
753,1
755,1
758,1
760,1
763,1
764,1
765,1
767,1
768,1
769,1
770,1
771,1
773,1
774,1
775,1
776,1
777,1
780,1
781,1
782,1
783,1
784,1
785,1
787,1
788,1
789,1
791,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
809,1
810,1
812,1
814,1
815,1
817,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
831,1
832,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
843,1
844,1
846,1
849,1
851,1
855,1
857,1
862,1
863,1
866,1
867,1
868,1
871,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
884,1
885,1
889,1
892,1
896,1
898,1
899,1
900,1
901,1
902,1
905,1
907,1
908,1
909,1
910,1
913,1
914,1
915,1
918,1
919,1
920,1
921,1
922,1
923,1
925,1
926,1
928,1
929,1
930,1
933,1
934,1
936,1
937,1
938,1
939,1
940,1
944,1
945,1
946,1
947,1
948,1
950,1
953,1
954,1
956,1
959,1
960,1
962,1
963,1
966,1
967,1
968,1
969,1
971,1
973,1
974,1
975,1
976,1
977,1
979,1
983,1
984,1
985,1
986,1
988,1
989,1
991,1
992,1
993,1
994,1
995,1
996,1
999,1
1000,1
1001,1
1003,1
1004,1
1006,1
1008,1
1010,1
1011,1
1012,1
1013,1
1016,1
1017,1
1018,1
1019,1
1021,1
1022,1
1023,1
1026,1
1029,1
1030,1
1031,1
1034,1
1037,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1051,1
1053,1
1054,1
1055,1
1056,1
1058,1
1059,1
1061,1
1062,1
1064,1
1066,1
1067,1
1069,1
1070,1
1071,1
1072,1
1073,1
1076,1
1078,1
1079,1
1080,1
1081,1
1083,1
1084,1
1085,1
1088,1
1089,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1102,1
1103,1
1104,1
1105,1
1106,1
1111,1
1113,1
